Day,課題名,トピック技術,使用技術,作成期間目安,難易度,成果物形式,ゴール基準,身の回りの例
1,静的ファイル配信サーバー自作,"HTTPプロトコル,ソケット通信",Python,1日,★★,アプリケーション,"ブラウザからHTML, CSS, JSファイルを正しく配信できる","Apache HTTP Server, Nginx"
2,URLルーター自作,"URL解析,正規表現,コールバック関数",PHP,1日,★★,アプリケーション,"URLパスに基づいて適切な処理（関数）を呼び出すルーティング機能","Laravelのルーティング"
3,シンプルなテンプレートエンジン自作,"文字列置換,正規表現",PHP,1日,★★,アプリケーション,"特定の記法で記述されたテンプレートファイルに変数を埋め込んでHTMLを生成できる","Blade, Twig"
4,JSONパーサー自作,"文字列操作,データ構造（ツリー/グラフ）",Python,1日,★★,アプリケーション,"JSON文字列をパースしてPythonの辞書/リストに変換できる","Python標準 json モジュール"
5,CSVパーサー自作,"文字列操作,データ構造（配列）",Python,1日,★,アプリケーション,"CSVファイルを読み込み,リストのリスト形式でデータを取り出せる","pandasの read_csv"
6,Markdownパーサー自作（簡易版）,"文字列解析,正規表現,抽象構文木（AST）",PHP,1日,★★★,アプリケーション,"Markdownの一部記法（ヘッダー,強調,リスト）をHTMLに変換できる","GitHubのREADME表示"
7,ミニマムなORM自作（PDO使用）,"データベース接続,SQLクエリ生成,オブジェクトマッピング",PHP,1日,★★★,アプリケーション,"オブジェクトを介してデータベースのCRUD操作ができる（簡単なSELECT, INSERT, UPDATE, DELETE）","Eloquent, Doctrine"
8,SQLインジェクション対策実装,"セキュリティ,プリペアドステートメント",PHP,1日,★★,アプリケーション,"前日のORMにプリペアドステートメントを用いたSQLインジェクション対策を施す","各言語のDBアクセスライブラリ"
9,CSRF対策実装,"セキュリティ,トークン管理",PHP,1日,★★,アプリケーション,"フォーム送信時にCSRFトークンを検証する機能","WebアプリケーションフレームワークのCSRF保護"
10,XSS対策実装,"セキュリティ,エスケープ処理",PHP,1日,★★,アプリケーション,"ユーザー入力を適切にエスケープし,XSS攻撃を防ぐ機能","各言語のHTMLエスケープ関数"
11,Cookieベースのセッション管理自作,"HTTPヘッダー,データ構造,暗号化（簡易版）",PHP,1日,★★★,アプリケーション,"Cookieを用いてユーザーのログイン状態を保持できる","PHPのセッション管理"
12,ファイルアップロード機能自作,"HTTPプロトコル（multipart/form-data）,ファイルシステム操作",PHP,1日,★★,アプリケーション,"サーバーにファイルをアップロードし,保存できる","画像アップローダー"
13,サムネイル画像生成ツール自作,"画像処理,ピクセル操作,メモリ管理",PHP/Python,1日,★★★,アプリケーション,"アップロードされた画像を縮小してサムネイル画像を生成できる（ピクセル単位の操作を理解する）","画像共有サイトのサムネイル"
14,シンプルなキャッシュシステム自作（ファイルベース）,"ファイルI/O,有効期限管理",PHP,1日,★★,アプリケーション,"頻繁にアクセスされるデータをファイルにキャッシュし,高速化を図る","Webサーバーのキャッシュ機能"
15,静的サイトジェネレータ自作（簡易版）,"ファイルI/O,テンプレートエンジン活用",PHP/Python,1日,★★★,アプリケーション,"マークダウンファイルとテンプレートから静的なHTMLサイトを生成できる","Jekyll, Hugo"
16,シンプルなCLIツール自作（ファイル操作）,"コマンドライン引数解析,ファイルシステム操作",Python,1日,★,アプリケーション,"コマンドラインからファイルをコピー,移動,削除できるツール","cp, mv, rm コマンド"
17,FizzBuzz問題の様々な解法実装,"アルゴリズム,条件分岐,ループ,計算量",Python,1日,★,アプリケーション,"FizzBuzz問題を複数の異なるアルゴリズムで実装し,パフォーマンスを比較できる","アルゴリズム学習"
18,簡易ソートアルゴリズム実装（バブルソート/選択ソート）,"アルゴリズム,配列操作,計算量",Python,1日,★★,アプリケーション,"自分でソートアルゴリズムを実装し,配列をソートできる","標準ライブラリのソート関数"
19,簡易検索アルゴリズム実装（線形探索/二分探索）,"アルゴリズム,配列操作,計算量",Python,1日,★★,アプリケーション,"自分で検索アルゴリズムを実装し,配列から要素を検索できる","標準ライブラリの検索関数"
20,スタックデータ構造自作,"データ構造（LIFO）,配列操作",Python,1日,★★,アプリケーション,"push, pop操作を持つスタックデータ構造を実装できる","ブラウザの戻るボタン"
21,キューデータ構造自作,"データ構造（FIFO）,配列操作",Python,1日,★★,アプリケーション,"enqueue, dequeue操作を持つキューデータ構造を実装できる","プリンターの印刷待ち行列"
22,連結リストデータ構造自作,"データ構造,ポインタ（参照）,メモリ管理",Python,1日,★★★,アプリケーション,"ノードとポインタを用いて連結リストを実装できる","データベースのインデックス"
23,簡易AST（抽象構文木）パーサー自作,"字句解析,構文解析,ツリー構造",Python,1日,★★★,アプリケーション,"非常にシンプルな独自言語のコードを解析し,ASTを生成できる","コンパイラのフロントエンド"
24,RPN（逆ポーランド記法）計算機自作,"スタック,文字列解析",Python,1日,★★★,アプリケーション,"逆ポーランド記法で入力された数式を計算できる","電卓"
25,簡易正規表現エンジン自作（文字一致のみ）,"オートマトン,状態遷移,形式言語",Python,1日,★★★★,アプリケーション,".,*などの一部の正規表現パターンにマッチする文字列を判定できる","正規表現ライブラリ"
26,簡易チャットアプリケーション（WebSocketなし,ポーリング）,"HTTP通信,ポーリング,ステートフル/ステートレス",PHP + JavaScript,1日,★★★,アプリケーション,"定期的にサーバーに問い合わせてメッセージを更新するチャット","昔の掲示板"
27,リアルタイムチャットアプリケーション（簡易WebSocket自作）,"WebSocketプロトコル,ソケット通信,イベント駆動",Python + JavaScript,1日,★★★★,アプリケーション,"WebSocketを自作し,リアルタイムなチャットを実現できる","Slack, Discord"
28,簡易CSSプリプロセッサ自作（変数対応のみ）,"文字列置換,簡単な構文解析",PHP/Python,1日,★★★,アプリケーション,"変数定義と置換に対応したCSSプリプロセッサ","Sass, Less"
29,シンプルなゲーム（テトリス風/ブロック崩し風）自作,"ゲームループ,物理演算（簡易）,描画（Canvas）",JavaScript,1日,★★★,アプリケーション,"ブラウザ上で簡単なゲームを動作させることができる","レトロゲーム"
30,シンプルな画像エディタ（ピクセル単位操作）,"Canvas API,ピクセル操作,画像形式の理解",JavaScript,1日,★★★★,アプリケーション,"ブラウザ上で画像を読み込み,ピクセル単位で色変換（グレースケール,セピア）できる","ペイントソフト"
31,簡易TCP/IP通信シミュレータ,"ネットワークプロトコルスタック,ソケット通信",Python,1日,★★★★,アプリケーション,"簡易的なクライアントとサーバー間でデータの送受信をシミュレートできる","Wireshark"
32,DNSルックアップツール自作,"DNSプロトコル,ソケット通信,階層型データベース",Python,1日,★★★★,アプリケーション,"ホスト名からIPアドレス,またはその逆の解決ができる","nslookup, dig コマンド"
33,簡易SMTPクライアント自作,"SMTPプロトコル,ソケット通信,MIME",Python,1日,★★★★,アプリケーション,"自作のクライアントからメールを送信できる","メールクライアント"
